SMILES	SMILES_CANONICAL	MOLPORTID	STANDARD_INCHI	INCHIKEY	PRICERANGE_1MG	PRICERANGE_5MG	PRICERANGE_50MG	BEST_LEAD_TIME
N[C@@H]1CCC2=CC=CC=C2NC1=O	N[C@@H]1CCc2ccccc2NC1=O	MolPort-000-000-299	InChI=1S/C10H12N2O/c11-8-6-5-7-3-1-2-4-9(7)12-10(8)13/h1-4,8H,5-6,11H2,(H,12,13)/t8-/m1/s1	AUAKXRGQXZRTQC-MRVPVSSYSA-N	100 - 250	100 - 250	100 - 250	7
NC1=CC(=O)CCC1	NC1=CC(=O)CCC1	MolPort-000-000-303	InChI=1S/C6H9NO/c7-5-2-1-3-6(8)4-5/h4H,1-3,7H2	ZZMRPOAHZITKBV-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC1=NC2=C(CCCC2)C(N)=C1	Cc1cc(N)c2CCCCc2n1	MolPort-000-000-304	InChI=1S/C10H14N2/c1-7-6-9(11)8-4-2-3-5-10(8)12-7/h6H,2-5H2,1H3,(H2,11,12)	FTGOJKPUJODQKE-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
NC1=C(SC=C1)C(O)=O	Nc1ccsc1C(O)=O	MolPort-000-000-305	InChI=1S/C5H5NO2S/c6-3-1-2-9-4(3)5(7)8/h1-2H,6H2,(H,7,8)	CQSJDKGNONPQOQ-UHFFFAOYSA-N	< 50	< 50	< 50	5
Cl.CCOC(=O)CC(N)=N	Cl.CCOC(=O)CC(N)=N	MolPort-000-000-307	InChI=1S/C5H10N2O2.ClH/c1-2-9-5(8)3-4(6)7;/h2-3H2,1H3,(H3,6,7);1H	VOHFLYOSVGWQOS-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1=CC=C(C=C1)C1=CC=C(O)C=C1	Nc1ccc(cc1)-c1ccc(O)cc1	MolPort-000-000-313	InChI=1S/C12H11NO/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8,14H,13H2	LQZZZAFQKXTFKH-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	2
CCOC(=O)C1=C(N)ON=C1	CCOC(=O)c1cnoc1N	MolPort-000-000-315	InChI=1S/C6H8N2O3/c1-2-10-6(9)4-3-8-11-5(4)7/h3H,2,7H2,1H3	HKXQLDZBVOTKEJ-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC1=CC=C(C=C1N)S(N)(=O)=O	Cc1ccc(cc1N)S(N)(=O)=O	MolPort-000-000-316	InChI=1S/C7H10N2O2S/c1-5-2-3-6(4-7(5)8)12(9,10)11/h2-4H,8H2,1H3,(H2,9,10,11)	HCZDHXMDYWZPPN-UHFFFAOYSA-N	< 50	< 50	< 50	5
NC1=C(C=CN=N1)C(O)=O	Nc1nnccc1C(O)=O	MolPort-000-000-317	InChI=1S/C5H5N3O2/c6-4-3(5(9)10)1-2-7-8-4/h1-2H,(H2,6,8)(H,9,10)	KCOOFYQDXAMIBZ-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1N=C(C2=CC=CC=C2)C2=CC=CC=C2NC1=O	NC1N=C(c2ccccc2)c2ccccc2NC1=O	MolPort-000-000-319	InChI=1S/C15H13N3O/c16-14-15(19)17-12-9-5-4-8-11(12)13(18-14)10-6-2-1-3-7-10/h1-9,14H,16H2,(H,17,19)	GLUWBSPUUGLXCW-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	5
NC1=C2C=CC(Cl)=CC2=NC=C1	Nc1ccnc2cc(Cl)ccc12	MolPort-000-000-321	InChI=1S/C9H7ClN2/c10-6-1-2-7-8(11)3-4-12-9(7)5-6/h1-5H,(H2,11,12)	NDRZSRWMMUGOBP-UHFFFAOYSA-N	< 50	< 50	< 50	3
Cl.NC1(CCC1)C(O)=O	Cl.NC1(CCC1)C(O)=O	MolPort-000-000-323	InChI=1S/C5H9NO2.ClH/c6-5(4(7)8)2-1-3-5;/h1-3,6H2,(H,7,8);1H	HBTVGNDTGRUBQO-UHFFFAOYSA-N	< 50	< 50	< 50	5
Cl.COC(=O)C1(N)CCC1	Cl.COC(=O)C1(N)CCC1	MolPort-000-000-324	InChI=1S/C6H11NO2.ClH/c1-9-5(8)6(7)3-2-4-6;/h2-4,7H2,1H3;1H	LLCSDOKIBIMJNU-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1CCC(C1)C(O)=O	NC1CCC(C1)C(O)=O	MolPort-000-000-328	InChI=1S/C6H11NO2/c7-5-2-1-4(3-5)6(8)9/h4-5H,1-3,7H2,(H,8,9)	MLLSSTJTARJLHK-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
NCCCCCCCCCC(O)=O	NCCCCCCCCCC(O)=O	MolPort-000-000-330	InChI=1S/C10H21NO2/c11-9-7-5-3-1-2-4-6-8-10(12)13/h1-9,11H2,(H,12,13)	XAUQWYHSQICPAZ-UHFFFAOYSA-N	< 50	< 50	< 50	5
CC(C)(C)OC(=O)N1CCCCC1CCN	CC(C)(C)OC(=O)N1CCCCC1CCN	MolPort-000-000-331	InChI=1S/C12H24N2O2/c1-12(2,3)16-11(15)14-9-5-4-6-10(14)7-8-13/h10H,4-9,13H2,1-3H3	QLEBCEWTHGUFFL-UHFFFAOYSA-N	< 50	< 50	< 50	5
NCCC1=CN=CC=C1	NCCc1cccnc1	MolPort-000-000-332	InChI=1S/C7H10N2/c8-4-3-7-2-1-5-9-6-7/h1-2,5-6H,3-4,8H2	NAHHNSMHYCLMON-UHFFFAOYSA-N	< 50	< 50	< 50	5
NCCC1=CC=NC=C1	NCCc1ccncc1	MolPort-000-000-333	InChI=1S/C7H10N2/c8-4-1-7-2-5-9-6-3-7/h2-3,5-6H,1,4,8H2	IDLHTECVNDEOIY-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC(=O)C1=C(N)N=CN1	NC(=O)c1[nH]cnc1N	MolPort-000-000-334	InChI=1S/C4H6N4O/c5-3-2(4(6)9)7-1-8-3/h1H,5H2,(H2,6,9)(H,7,8)	DVNYTAVYBRSTGK-UHFFFAOYSA-N	< 50	< 50	< 50	7
Cl.Cl.NCC1=CC=C(C=C1)C(N)=N	Cl.Cl.NCc1ccc(cc1)C(N)=N	MolPort-000-000-336	InChI=1S/C8H11N3.2ClH/c9-5-6-1-3-7(4-2-6)8(10)11;;/h1-4H,5,9H2,(H3,10,11);2*1H	VZQHJODNUJKHBM-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
Cl.NCC1=CC=CC(=C1)C(O)=O	Cl.NCc1cccc(c1)C(O)=O	MolPort-000-000-337	InChI=1S/C8H9NO2.ClH/c9-5-6-2-1-3-7(4-6)8(10)11;/h1-4H,5,9H2,(H,10,11);1H	SJCCOASSOPUHEN-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(C)(C)OC(=O)N1CCCCC1CN	CC(C)(C)OC(=O)N1CCCCC1CN	MolPort-000-000-338	InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-7-5-4-6-9(13)8-12/h9H,4-8,12H2,1-3H3	PTVRCUVHYMGECC-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(C)(C)OC(=O)N1CCCC(CN)C1	CC(C)(C)OC(=O)N1CCCC(CN)C1	MolPort-000-000-339	InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-6-4-5-9(7-12)8-13/h9H,4-8,12H2,1-3H3	WPWXYQIMXTUMJB-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(C)(C)OC(=O)N1CCC(CN)CC1	CC(C)(C)OC(=O)N1CCC(CN)CC1	MolPort-000-000-340	InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-6-4-9(8-12)5-7-13/h9H,4-8,12H2,1-3H3	KLKBCNDBOVRQIJ-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(C)(C)OC(=O)N1CCCC1CN	CC(C)(C)OC(=O)N1CCCC1CN	MolPort-000-000-341	InChI=1S/C10H20N2O2/c1-10(2,3)14-9(13)12-6-4-5-8(12)7-11/h8H,4-7,11H2,1-3H3	SOGXYCNKQQJEED-UHFFFAOYSA-N	< 50	< 50	< 50	2
[Cl-].COC1=CC=C(C[NH3+])C=C1Cl	[Cl-].COc1ccc(C[NH3+])cc1Cl	MolPort-000-000-343	InChI=1S/C8H10ClNO.ClH/c1-11-8-3-2-6(5-10)4-7(8)9;/h2-4H,5,10H2,1H3;1H	IKWWOZCEHOYKAO-UHFFFAOYSA-N	250 - 500	250 - 500	250 - 500	7
CC1=CC=CC(N)=C1O	Cc1cccc(N)c1O	MolPort-000-000-346	InChI=1S/C7H9NO/c1-5-3-2-4-6(8)7(5)9/h2-4,9H,8H2,1H3	ALQKEYVDQYGZDN-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1=CC=C(C=C1)S(F)(F)(F)(F)F	Nc1ccc(cc1)S(F)(F)(F)(F)F	MolPort-000-000-347	InChI=1S/C6H6F5NS/c7-13(8,9,10,11)6-3-1-5(12)2-4-6/h1-4H,12H2	MZGZUHNSMNNSRJ-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1=CC=CC(=C1)S(F)(F)(F)(F)F	Nc1cccc(c1)S(F)(F)(F)(F)F	MolPort-000-000-348	InChI=1S/C6H6F5NS/c7-13(8,9,10,11)6-3-1-2-5(12)4-6/h1-4H,12H2	NUFLICUHOXHWER-UHFFFAOYSA-N	< 50	< 50	< 50	5
NCCCN1CCNCC1	NCCCN1CCNCC1	MolPort-000-000-351	InChI=1S/C7H17N3/c8-2-1-5-10-6-3-9-4-7-10/h9H,1-8H2	UVLSCMIEPPWCHZ-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
NC1=NC=CN=C1	Nc1cnccn1	MolPort-000-000-352	InChI=1S/C4H5N3/c5-4-3-6-1-2-7-4/h1-3H,(H2,5,7)	XFTQRUTUGRCSGO-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1=C2C=CC=CC2=NC=C1	Nc1ccnc2ccccc12	MolPort-000-000-353	InChI=1S/C9H8N2/c10-8-5-6-11-9-4-2-1-3-7(8)9/h1-6H,(H2,10,11)	FQYRLEXKXQRZDH-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1=NN=NN1	Nc1nnn[nH]1	MolPort-000-000-354	InChI=1S/CH3N5/c2-1-3-5-6-4-1/h(H3,2,3,4,5,6)	ULRPISSMEBPJLN-UHFFFAOYSA-N	< 50	< 50	< 50	5
O=CC1=CC=C(N1)C1=CC=CC=C1	O=Cc1ccc([nH]1)-c1ccccc1	MolPort-000-000-356	InChI=1S/C11H9NO/c13-8-10-6-7-11(12-10)9-4-2-1-3-5-9/h1-8,12H	AWLDDDPIAFHCFV-UHFFFAOYSA-N	250 - 500	250 - 500	250 - 500	10
N[C@H](CO)CC(O)=O	N[C@H](CO)CC(O)=O	MolPort-000-000-357	InChI=1S/C4H9NO3/c5-3(2-6)1-4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1	BUZICZZQJDLXJN-VKHMYHEASA-N	< 50	< 50	< 50	2
CCOC(OCC)C=C	CCOC(OCC)C=C	MolPort-000-000-360	InChI=1S/C7H14O2/c1-4-7(8-5-2)9-6-3/h4,7H,1,5-6H2,2-3H3	MCIPQLOKVXSHTD-UHFFFAOYSA-N	< 50	< 50	< 50	5
Cl.NCC1=NC=CN=C1Cl	Cl.NCc1nccnc1Cl	MolPort-000-000-361	InChI=1S/C5H6ClN3.ClH/c6-5-4(3-7)8-1-2-9-5;/h1-2H,3,7H2;1H	YYVVOYJKQZWKFS-UHFFFAOYSA-N	< 50	< 50	< 50	5
NCC1=CC=C(CC(O)=O)C=C1	NCc1ccc(CC(O)=O)cc1	MolPort-000-000-363	InChI=1S/C9H11NO2/c10-6-8-3-1-7(2-4-8)5-9(11)12/h1-4H,5-6,10H2,(H,11,12)	HAAUVXXFRQXTTQ-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
NC1CCCC2=NC=CC=C12	NC1CCCc2ncccc12	MolPort-000-000-364	InChI=1S/C9H12N2/c10-8-4-1-5-9-7(8)3-2-6-11-9/h2-3,6,8H,1,4-5,10H2	ZMAFTVCNAYZLGF-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
COCC(N)COC	COCC(N)COC	MolPort-000-000-366	InChI=1S/C5H13NO2/c1-7-3-5(6)4-8-2/h5H,3-4,6H2,1-2H3	DSZCUJHVOLGWBO-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC1=CC=CC(CCN)=N1	Cc1cccc(CCN)n1	MolPort-000-000-368	InChI=1S/C8H12N2/c1-7-3-2-4-8(10-7)5-6-9/h2-4H,5-6,9H2,1H3	CDTHKXWPZVCHBX-UHFFFAOYSA-N	< 50	< 50	< 50	2
Cl.Cl.NC1CCCNC1	Cl.Cl.NC1CCCNC1	MolPort-000-000-369	InChI=1S/C5H12N2.2ClH/c6-5-2-1-3-7-4-5;;/h5,7H,1-4,6H2;2*1H	GGPNYXIOFZLNKW-UHFFFAOYSA-N	< 50	< 50	< 50	2
Cl.Cl.N[C@@H]1CCCNC1	Cl.Cl.N[C@@H]1CCCNC1	MolPort-000-000-370	InChI=1S/C5H12N2.2ClH/c6-5-2-1-3-7-4-5;;/h5,7H,1-4,6H2;2*1H/t5-;;/m1../s1	GGPNYXIOFZLNKW-ZJIMSODOSA-N	< 50	< 50	< 50	2
Cl.Cl.N[C@H]1CCCNC1	Cl.Cl.N[C@H]1CCCNC1	MolPort-000-000-371	InChI=1S/C5H12N2.2ClH/c6-5-2-1-3-7-4-5;;/h5,7H,1-4,6H2;2*1H/t5-;;/m0../s1	GGPNYXIOFZLNKW-XRIGFGBMSA-N	< 50	< 50	< 50	2
NC1(CO)CCCC1	NC1(CO)CCCC1	MolPort-000-000-374	InChI=1S/C6H13NO/c7-6(5-8)3-1-2-4-6/h8H,1-5,7H2	PDNZJLMPXLQDPL-UHFFFAOYSA-N	< 50	< 50	< 50	5
Cl.Cl.NCCC1CCCNC1	Cl.Cl.NCCC1CCCNC1	MolPort-000-000-377	InChI=1S/C7H16N2.2ClH/c8-4-3-7-2-1-5-9-6-7;;/h7,9H,1-6,8H2;2*1H	IELZRWMIHYDLTD-UHFFFAOYSA-N	250 - 500	250 - 500	250 - 500	10
CC(C)(C)OC(=O)N1CC(N)CC2=CC=CC=C12	CC(C)(C)OC(=O)N1CC(N)Cc2ccccc12	MolPort-000-000-378	InChI=1S/C14H20N2O2/c1-14(2,3)18-13(17)16-9-11(15)8-10-6-4-5-7-12(10)16/h4-7,11H,8-9,15H2,1-3H3	MVZZYBHLXOUNIT-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
CC(C)(C)OC(=O)N1CCCC(CCN)C1	CC(C)(C)OC(=O)N1CCCC(CCN)C1	MolPort-000-000-379	InChI=1S/C12H24N2O2/c1-12(2,3)16-11(15)14-8-4-5-10(9-14)6-7-13/h10H,4-9,13H2,1-3H3	GYLAYRXNMUUXJS-UHFFFAOYSA-N	< 50	< 50	< 50	5
CC(C)(C)OC(=O)N1CCC(CCN)CC1	CC(C)(C)OC(=O)N1CCC(CCN)CC1	MolPort-000-000-380	InChI=1S/C12H24N2O2/c1-12(2,3)16-11(15)14-8-5-10(4-7-13)6-9-14/h10H,4-9,13H2,1-3H3	LBQDLHPFISVBRU-UHFFFAOYSA-N	< 50	< 50	< 50	3
NC1=C(C=C(C=N1)C#N)C#N	Nc1ncc(cc1C#N)C#N	MolPort-000-000-381	InChI=1S/C7H4N4/c8-2-5-1-6(3-9)7(10)11-4-5/h1,4H,(H2,10,11)	YLZXGBMEWRIPQX-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	5
Cl.NC1=NC2=CC=C(O)C=C2S1	Cl.Nc1nc2ccc(O)cc2s1	MolPort-000-000-384	InChI=1S/C7H6N2OS.ClH/c8-7-9-5-2-1-4(10)3-6(5)11-7;/h1-3,10H,(H2,8,9);1H	VLQGGLVKPGDBAH-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
NC1=CC(I)=CN=C1Cl	Nc1cc(I)cnc1Cl	MolPort-000-000-385	InChI=1S/C5H4ClIN2/c6-5-4(8)1-3(7)2-9-5/h1-2H,8H2	CIKQIWYGYUILOL-UHFFFAOYSA-N	< 50	< 50	< 50	5
NC1(CCNCC1)C(O)=O	NC1(CCNCC1)C(O)=O	MolPort-000-000-386	InChI=1S/C6H12N2O2/c7-6(5(9)10)1-3-8-4-2-6/h8H,1-4,7H2,(H,9,10)	KHABBYNLBYZCKP-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
NCC1=CC=C2CCCC2=C1	NCc1ccc2CCCc2c1	MolPort-000-000-387	InChI=1S/C10H13N/c11-7-8-4-5-9-2-1-3-10(9)6-8/h4-6H,1-3,7,11H2	JJVNSSFYOJOECV-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	7
CC1=CC=CN=C1CN	Cc1cccnc1CN	MolPort-000-000-388	InChI=1S/C7H10N2/c1-6-3-2-4-9-7(6)5-8/h2-4H,5,8H2,1H3	QNLAYSBIWHHNIT-UHFFFAOYSA-N	< 50	< 50	< 50	2
Cl.Cl.CC1=C(CN)C=CN=C1	Cl.Cl.Cc1cnccc1CN	MolPort-000-000-389	InChI=1S/C7H10N2.2ClH/c1-6-5-9-3-2-7(6)4-8;;/h2-3,5H,4,8H2,1H3;2*1H	CCKLJVPDSMISSM-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	7
NCC1=CC2=CC=CN=C2C=C1	NCc1ccc2ncccc2c1	MolPort-000-000-390	InChI=1S/C10H10N2/c11-7-8-3-4-10-9(6-8)2-1-5-12-10/h1-6H,7,11H2	RZIPENSSTUBRAA-UHFFFAOYSA-N	< 50	< 50	50 - 100	2
CC(C)(C)OC(=O)N1CCC(C1)C(N)=O	CC(C)(C)OC(=O)N1CCC(C1)C(N)=O	MolPort-000-000-392	InChI=1S/C10H18N2O3/c1-10(2,3)15-9(14)12-5-4-7(6-12)8(11)13/h7H,4-6H2,1-3H3,(H2,11,13)	NHDGOVOBEZPXMY-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(C)(C)OC(=O)N1CCC(C1)C(N)=S	CC(C)(C)OC(=O)N1CCC(C1)C(N)=S	MolPort-000-000-393	InChI=1S/C10H18N2O2S/c1-10(2,3)14-9(13)12-5-4-7(6-12)8(11)15/h7H,4-6H2,1-3H3,(H2,11,15)	FKLPAGOTHFVRLL-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
CC(C)(C)OC(=O)N1CCC(CN)C1	CC(C)(C)OC(=O)N1CCC(CN)C1	MolPort-000-000-396	InChI=1S/C10H20N2O2/c1-10(2,3)14-9(13)12-5-4-8(6-11)7-12/h8H,4-7,11H2,1-3H3	OGCCBDIYOAFOGK-UHFFFAOYSA-N	< 50	< 50	< 50	5
NC1=C(CNCC1)C#N	NC1=C(CNCC1)C#N	MolPort-000-000-398	InChI=1S/C6H9N3/c7-3-5-4-9-2-1-6(5)8/h9H,1-2,4,8H2	SNDHGRMHEXOIHX-UHFFFAOYSA-N	< 50	< 50	100 - 250	7
CC(C)(C)OC(=O)NC1CCCCC1N	CC(C)(C)OC(=O)NC1CCCCC1N	MolPort-000-000-399	InChI=1S/C11H22N2O2/c1-11(2,3)15-10(14)13-9-7-5-4-6-8(9)12/h8-9H,4-7,12H2,1-3H3,(H,13,14)	AKVIZYGPJIWKOS-UHFFFAOYSA-N	< 50	< 50	< 50	2
OC1CCCNCC1	OC1CCCNCC1	MolPort-000-000-403	InChI=1S/C6H13NO/c8-6-2-1-4-7-5-3-6/h6-8H,1-5H2	JKYGZQCMFANMFM-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
Cl.CC(N)=N	Cl.CC(N)=N	MolPort-000-000-404	InChI=1S/C2H6N2.ClH/c1-2(3)4;/h1H3,(H3,3,4);1H	WCQOBLXWLRDEQA-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC(C(O)=O)C1=CC=C2OCCOC2=C1	NC(C(O)=O)c1ccc2OCCOc2c1	MolPort-000-000-405	InChI=1S/C10H11NO4/c11-9(10(12)13)6-1-2-7-8(5-6)15-4-3-14-7/h1-2,5,9H,3-4,11H2,(H,12,13)	BNLLZPGNWVELHB-UHFFFAOYSA-N	< 50	< 50	50 - 100	2
NC(C(O)=O)C1=CNC2=CC=CC=C12	NC(C(O)=O)c1c[nH]c2ccccc12	MolPort-000-000-407	InChI=1S/C10H10N2O2/c11-9(10(13)14)7-5-12-8-4-2-1-3-6(7)8/h1-5,9,12H,11H2,(H,13,14)	AIZGBPJAKQNCSD-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	7
NC(C(O)=O)C1=CC=CN=C1	NC(C(O)=O)c1cccnc1	MolPort-000-000-411	InChI=1S/C7H8N2O2/c8-6(7(10)11)5-2-1-3-9-4-5/h1-4,6H,8H2,(H,10,11)	WJKDJKGHCRHSLB-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	3
NC(C(O)=O)C1=CC=C2C=CC=CC2=C1	NC(C(O)=O)c1ccc2ccccc2c1	MolPort-000-000-413	InChI=1S/C12H11NO2/c13-11(12(14)15)10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H,13H2,(H,14,15)	XAJPMFUAJFQIIT-UHFFFAOYSA-N	< 50	< 50	50 - 100	3
NC(C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1	NC(C(O)=O)c1ccc(cc1)-c1ccccc1	MolPort-000-000-414	InChI=1S/C14H13NO2/c15-13(14(16)17)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9,13H,15H2,(H,16,17)	BMWOGALGPJNHSP-UHFFFAOYSA-N	< 50	< 50	100 - 250	10
COC1=CC(=CC(OC)=C1)C(N)C(O)=O	COc1cc(OC)cc(c1)C(N)C(O)=O	MolPort-000-000-415	InChI=1S/C10H13NO4/c1-14-7-3-6(9(11)10(12)13)4-8(5-7)15-2/h3-5,9H,11H2,1-2H3,(H,12,13)	PUDUIVFPKSOBOR-UHFFFAOYSA-N	250 - 500	250 - 500	250 - 500	10
NC(C(O)=O)C1=CC=C(F)C=C1	NC(C(O)=O)c1ccc(F)cc1	MolPort-000-000-418	InChI=1S/C8H8FNO2/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7H,10H2,(H,11,12)	JKFYKCYQEWQPTM-UHFFFAOYSA-N	< 50	< 50	< 50	2
