SMILES	SMILES_CANONICAL	MOLPORTID	STANDARD_INCHI	INCHIKEY	PRICERANGE_1MG	PRICERANGE_5MG	PRICERANGE_50MG	BEST_LEAD_TIME
CC1CCCCC1NC(=O)CC1=CNC2=CC=CC=C12	CC1CCCCC1NC(=O)Cc1c[nH]c2ccccc12	MolPort-000-061-277	InChI=1S/C17H22N2O/c1-12-6-2-4-8-15(12)19-17(20)10-13-11-18-16-9-5-3-7-14(13)16/h3,5,7,9,11-12,15,18H,2,4,6,8,10H2,1H3,(H,19,20)	VDLDAARZHWXDFF-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CC(C)C1=CC=C(NC(=O)CC2=CNC3=CC=CC=C23)C=C1	CC(C)c1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1	MolPort-000-061-278	InChI=1S/C19H20N2O/c1-13(2)14-7-9-16(10-8-14)21-19(22)11-15-12-20-18-6-4-3-5-17(15)18/h3-10,12-13,20H,11H2,1-2H3,(H,21,22)	CPNSMGVCXNGIAP-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CC1=CC(NC(=O)C2CCN(CC2)S(=O)(=O)C2=CC=C(C)C=C2)=NO1	Cc1cc(NC(=O)C2CCN(CC2)S(=O)(=O)c2ccc(C)cc2)no1	MolPort-000-061-597	InChI=1S/C17H21N3O4S/c1-12-3-5-15(6-4-12)25(22,23)20-9-7-14(8-10-20)17(21)18-16-11-13(2)24-19-16/h3-6,11,14H,7-10H2,1-2H3,(H,18,19,21)	XPZMRCONIAWEQV-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
COC1=CC=CC(CNC(=O)C2CCCN(C2)S(=O)(=O)C2=CC=C(Cl)C=C2)=C1	COc1cccc(CNC(=O)C2CCCN(C2)S(=O)(=O)c2ccc(Cl)cc2)c1	MolPort-000-061-608	InChI=1S/C20H23ClN2O4S/c1-27-18-6-2-4-15(12-18)13-22-20(24)16-5-3-11-23(14-16)28(25,26)19-9-7-17(21)8-10-19/h2,4,6-10,12,16H,3,5,11,13-14H2,1H3,(H,22,24)	KWPGNHGSTFXJJT-UHFFFAOYSA-N	< 50	< 50	null	7
COC1=C(CNC(=O)C2CCN(CC2)S(=O)(=O)C2=CC3=C(OCCO3)C=C2)C=CC=C1	COc1ccccc1CNC(=O)C1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	MolPort-000-061-617	InChI=1S/C22H26N2O6S/c1-28-19-5-3-2-4-17(19)15-23-22(25)16-8-10-24(11-9-16)31(26,27)18-6-7-20-21(14-18)30-13-12-29-20/h2-7,14,16H,8-13,15H2,1H3,(H,23,25)	QWGXEHDCVWMZCT-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
COC1=CC=CC(CNC(=O)C2CCN(CC2)S(=O)(=O)C2=CC3=C(OCCO3)C=C2)=C1	COc1cccc(CNC(=O)C2CCN(CC2)S(=O)(=O)c2ccc3OCCOc3c2)c1	MolPort-000-061-618	InChI=1S/C22H26N2O6S/c1-28-18-4-2-3-16(13-18)15-23-22(25)17-7-9-24(10-8-17)31(26,27)19-5-6-20-21(14-19)30-12-11-29-20/h2-6,13-14,17H,7-12,15H2,1H3,(H,23,25)	QMTOKVNWQJBCIT-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
COC1=CC=CC(NC(=O)C2(CCCC2)C2=CC=CC=C2)=C1	COc1cccc(NC(=O)C2(CCCC2)c2ccccc2)c1	MolPort-000-061-642	InChI=1S/C19H21NO2/c1-22-17-11-7-10-16(14-17)20-18(21)19(12-5-6-13-19)15-8-3-2-4-9-15/h2-4,7-11,14H,5-6,12-13H2,1H3,(H,20,21)	HMCVAQJPCPDOAO-UHFFFAOYSA-N	< 50	< 50	100 - 250	12
COC1=CC=C2NC(=O)C(=CC2=C1)C(N1CCN(CC1)C1CCCCC1)C1=NN=NN1CCC1=CC=CC=C1	COc1ccc2[nH]c(=O)c(cc2c1)C(N1CCN(CC1)C1CCCCC1)c1nnnn1CCc1ccccc1	MolPort-000-061-846	InChI=1S/C30H37N7O2/c1-39-25-12-13-27-23(20-25)21-26(30(38)31-27)28(36-18-16-35(17-19-36)24-10-6-3-7-11-24)29-32-33-34-37(29)15-14-22-8-4-2-5-9-22/h2,4-5,8-9,12-13,20-21,24,28H,3,6-7,10-11,14-19H2,1H3,(H,31,38)	ZVWPOIUAPXDLMB-UHFFFAOYSA-N	100 - 250	100 - 250	500 - 1000	5
COC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)C1=CC2=C(OCCO2)C=C1	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	MolPort-000-063-134	InChI=1S/C19H22N2O7S2/c1-26-15-2-4-16(5-3-15)29(22,23)20-8-10-21(11-9-20)30(24,25)17-6-7-18-19(14-17)28-13-12-27-18/h2-7,14H,8-13H2,1H3	HMGDKYUJSFVHIY-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CC1=CC=C(C=C1)C(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	Cc1ccc(cc1)C(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-882	InChI=1S/C23H22N6O/c1-17-7-9-18(10-8-17)23(30)28-13-11-27(12-14-28)21-20-15-26-29(22(20)25-16-24-21)19-5-3-2-4-6-19/h2-10,15-16H,11-14H2,1H3	UWHASPDYICBZKV-UHFFFAOYSA-N	50 - 100	null	null	10
CC(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	CC(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-886	InChI=1S/C17H18N6O/c1-13(24)21-7-9-22(10-8-21)16-15-11-20-23(17(15)19-12-18-16)14-5-3-2-4-6-14/h2-6,11-12H,7-10H2,1H3	SQIFILHDEBCDDT-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
O=C(N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1)C1=CC=CS1	O=C(N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1)c1cccs1	MolPort-000-063-890	InChI=1S/C20H18N6OS/c27-20(17-7-4-12-28-17)25-10-8-24(9-11-25)18-16-13-23-26(19(16)22-14-21-18)15-5-2-1-3-6-15/h1-7,12-14H,8-11H2	PRSNUTYYNOHWOE-UHFFFAOYSA-N	50 - 100	null	null	10
O=C(C1CCCCC1)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	O=C(C1CCCCC1)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-891	InChI=1S/C22H26N6O/c29-22(17-7-3-1-4-8-17)27-13-11-26(12-14-27)20-19-15-25-28(21(19)24-16-23-20)18-9-5-2-6-10-18/h2,5-6,9-10,15-17H,1,3-4,7-8,11-14H2	DPAIDQDTAPAGDI-UHFFFAOYSA-N	50 - 100	null	null	10
COC1=CC(=CC(OC)=C1OC)C(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	COc1cc(cc(OC)c1OC)C(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-893	InChI=1S/C25H26N6O4/c1-33-20-13-17(14-21(34-2)22(20)35-3)25(32)30-11-9-29(10-12-30)23-19-15-28-31(24(19)27-16-26-23)18-7-5-4-6-8-18/h4-8,13-16H,9-12H2,1-3H3	JYMFZLFVFUNJHN-UHFFFAOYSA-N	50 - 100	null	null	10
CC1=CC=CC(=C1)C(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	Cc1cccc(c1)C(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-896	InChI=1S/C23H22N6O/c1-17-6-5-7-18(14-17)23(30)28-12-10-27(11-13-28)21-20-15-26-29(22(20)25-16-24-21)19-8-3-2-4-9-19/h2-9,14-16H,10-13H2,1H3	YZPBVXDFMBOKPN-UHFFFAOYSA-N	50 - 100	null	null	10
FC1=C(C=CC=C1)C(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	Fc1ccccc1C(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-900	InChI=1S/C22H19FN6O/c23-19-9-5-4-8-17(19)22(30)28-12-10-27(11-13-28)20-18-14-26-29(21(18)25-15-24-20)16-6-2-1-3-7-16/h1-9,14-15H,10-13H2	YHASJEWZPQHFIY-UHFFFAOYSA-N	50 - 100	null	null	10
ClC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	Clc1ccc(cc1)S(=O)(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-905	InChI=1S/C21H19ClN6O2S/c22-16-6-8-18(9-7-16)31(29,30)27-12-10-26(11-13-27)20-19-14-25-28(21(19)24-15-23-20)17-4-2-1-3-5-17/h1-9,14-15H,10-13H2	ROLKLAKULPFFFL-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
FC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	Fc1ccc(cc1)S(=O)(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-906	InChI=1S/C21H19FN6O2S/c22-16-6-8-18(9-7-16)31(29,30)27-12-10-26(11-13-27)20-19-14-25-28(21(19)24-15-23-20)17-4-2-1-3-5-17/h1-9,14-15H,10-13H2	NLSXSKSGWRHPLQ-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1	Cc1ccc(cc1)S(=O)(=O)N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1	MolPort-000-063-907	InChI=1S/C22H22N6O2S/c1-17-7-9-19(10-8-17)31(29,30)27-13-11-26(12-14-27)21-20-15-25-28(22(20)24-16-23-21)18-5-3-2-4-6-18/h2-10,15-16H,11-14H2,1H3	QYSIVRNRNANAKR-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
O=S(=O)(N1CCN(CC1)C1=C2C=NN(C2=NC=N1)C1=CC=CC=C1)C1=CC=CC=C1	O=S(=O)(N1CCN(CC1)c1ncnc2n(ncc12)-c1ccccc1)c1ccccc1	MolPort-000-063-908	InChI=1S/C21H20N6O2S/c28-30(29,18-9-5-2-6-10-18)26-13-11-25(12-14-26)20-19-15-24-27(21(19)23-16-22-20)17-7-3-1-4-8-17/h1-10,15-16H,11-14H2	CUCDNLOKXSNGTI-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CC(=O)NCCNC1=C2C(SC3=C2CCCC3)=NC=N1	CC(=O)NCCNc1ncnc2sc3CCCCc3c12	MolPort-000-063-915	InChI=1S/C14H18N4OS/c1-9(19)15-6-7-16-13-12-10-4-2-3-5-11(10)20-14(12)18-8-17-13/h8H,2-7H2,1H3,(H,15,19)(H,16,17,18)	UPONQUCQXOYTCQ-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
COC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C(=O)C1=C(C)C=CC=C1	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)c1ccccc1C	MolPort-000-063-938	InChI=1S/C19H22N2O4S/c1-15-5-3-4-6-18(15)19(22)20-11-13-21(14-12-20)26(23,24)17-9-7-16(25-2)8-10-17/h3-10H,11-14H2,1-2H3	MHGAOHGKBAHQSY-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
CCC(=O)N1CCN(CC1)S(=O)(=O)C1=CC=C(OC)C=C1	CCC(=O)N1CCN(CC1)S(=O)(=O)c1ccc(OC)cc1	MolPort-000-063-940	InChI=1S/C14H20N2O4S/c1-3-14(17)15-8-10-16(11-9-15)21(18,19)13-6-4-12(20-2)5-7-13/h4-7H,3,8-11H2,1-2H3	DSPGNJKAJAZTSA-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
COC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C(=O)C1=C(Cl)N(N=C1C)C1=CC=CC=C1	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)c1c(C)nn(c1Cl)-c1ccccc1	MolPort-000-063-941	InChI=1S/C22H23ClN4O4S/c1-16-20(21(23)27(24-16)17-6-4-3-5-7-17)22(28)25-12-14-26(15-13-25)32(29,30)19-10-8-18(31-2)9-11-19/h3-11H,12-15H2,1-2H3	YMAIFZYAQRVVEO-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
COC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C(=O)C1=CC(C)=CC=C1	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)c1cccc(C)c1	MolPort-000-063-942	InChI=1S/C19H22N2O4S/c1-15-4-3-5-16(14-15)19(22)20-10-12-21(13-11-20)26(23,24)18-8-6-17(25-2)7-9-18/h3-9,14H,10-13H2,1-2H3	SIWASSPZFNSPJP-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
COC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C(=O)C1CC1	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)C1CC1	MolPort-000-063-943	InChI=1S/C15H20N2O4S/c1-21-13-4-6-14(7-5-13)22(19,20)17-10-8-16(9-11-17)15(18)12-2-3-12/h4-7,12H,2-3,8-11H2,1H3	JSCHSMXAVRXNTF-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
CC1=CC=C(C=C1)C1=CSC(NCC2CCCO2)=N1	Cc1ccc(cc1)-c1csc(NCC2CCCO2)n1	MolPort-000-063-950	InChI=1S/C15H18N2OS/c1-11-4-6-12(7-5-11)14-10-19-15(17-14)16-9-13-3-2-8-18-13/h4-7,10,13H,2-3,8-9H2,1H3,(H,16,17)	MESQQJVXXQIPJC-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CNC1=NC(=CS1)C1=CC=C(Cl)C=C1	CNc1nc(cs1)-c1ccc(Cl)cc1	MolPort-000-063-951	InChI=1S/C10H9ClN2S/c1-12-10-13-9(6-14-10)7-2-4-8(11)5-3-7/h2-6H,1H3,(H,12,13)	IGABRTJMXKNZKJ-UHFFFAOYSA-N	< 50	< 50	100 - 250	10
CCOC(=O)C1=C(C)N=C(NC2=CC=C(OCC)C=C2)S1	CCOC(=O)c1sc(Nc2ccc(OCC)cc2)nc1C	MolPort-000-063-954	InChI=1S/C15H18N2O3S/c1-4-19-12-8-6-11(7-9-12)17-15-16-10(3)13(21-15)14(18)20-5-2/h6-9H,4-5H2,1-3H3,(H,16,17)	NKZKUVRIDUIGDC-UHFFFAOYSA-N	< 50	< 50	100 - 250	2
CCOC(=O)CC1=CSC(NC2=CC=C(F)C=C2)=N1	CCOC(=O)Cc1csc(Nc2ccc(F)cc2)n1	MolPort-000-063-955	InChI=1S/C13H13FN2O2S/c1-2-18-12(17)7-11-8-19-13(16-11)15-10-5-3-9(14)4-6-10/h3-6,8H,2,7H2,1H3,(H,15,16)	PQXBICWYNCLJFE-UHFFFAOYSA-N	< 50	< 50	100 - 250	2
COC1=CC=C(NC(C)=O)C=C1S(=O)(=O)N1CCC2=C1C=CC=C2	COc1ccc(NC(C)=O)cc1S(=O)(=O)N1CCc2ccccc12	MolPort-000-063-957	InChI=1S/C17H18N2O4S/c1-12(20)18-14-7-8-16(23-2)17(11-14)24(21,22)19-10-9-13-5-3-4-6-15(13)19/h3-8,11H,9-10H2,1-2H3,(H,18,20)	OOSNUKKOZZHWCV-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CCN1CCN(CC1)C(=O)C1=CC=C(N)C=C1	CCN1CCN(CC1)C(=O)c1ccc(N)cc1	MolPort-000-063-989	InChI=1S/C13H19N3O/c1-2-15-7-9-16(10-8-15)13(17)11-3-5-12(14)6-4-11/h3-6H,2,7-10,14H2,1H3	NSBYIXFHERKEPP-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
CN1CCN(CC1)S(=O)(=O)C1=CC(N)=CC=C1	CN1CCN(CC1)S(=O)(=O)c1cccc(N)c1	MolPort-000-063-990	InChI=1S/C11H17N3O2S/c1-13-5-7-14(8-6-13)17(15,16)11-4-2-3-10(12)9-11/h2-4,9H,5-8,12H2,1H3	LENADRWBVLFBSX-UHFFFAOYSA-N	< 50	< 50	< 50	10
COC1=CC=C(NC(C)=O)C=C1S(=O)(=O)N1CCN(CC2=C(C)C=CC=C2)CC1	COc1ccc(NC(C)=O)cc1S(=O)(=O)N1CCN(Cc2ccccc2C)CC1	MolPort-000-063-995	InChI=1S/C21H27N3O4S/c1-16-6-4-5-7-18(16)15-23-10-12-24(13-11-23)29(26,27)21-14-19(22-17(2)25)8-9-20(21)28-3/h4-9,14H,10-13,15H2,1-3H3,(H,22,25)	QOOQWPBZILPHRE-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
COC1=C(OC)C=C(NC2=NC(CC(C)=O)=NS2)C=C1	COc1ccc(Nc2nc(CC(C)=O)ns2)cc1OC	MolPort-000-064-020	InChI=1S/C13H15N3O3S/c1-8(17)6-12-15-13(20-16-12)14-9-4-5-10(18-2)11(7-9)19-3/h4-5,7H,6H2,1-3H3,(H,14,15,16)	NNHHHPLVQBGVEO-UHFFFAOYSA-N	< 50	< 50	100 - 250	2
COCC1=NN=C(NC(=O)C2=C(C)C=CC=C2)S1	COCc1nnc(NC(=O)c2ccccc2C)s1	MolPort-000-064-118	InChI=1S/C12H13N3O2S/c1-8-5-3-4-6-9(8)11(16)13-12-15-14-10(18-12)7-17-2/h3-6H,7H2,1-2H3,(H,13,15,16)	BXJBHUVBDPLADZ-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
COC1=CC=C(CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N2CCC(C)CC2)C=C1OC	COc1ccc(CC(=O)Nc2ccc(cc2)S(=O)(=O)N2CCC(C)CC2)cc1OC	MolPort-000-064-119	InChI=1S/C22H28N2O5S/c1-16-10-12-24(13-11-16)30(26,27)19-7-5-18(6-8-19)23-22(25)15-17-4-9-20(28-2)21(14-17)29-3/h4-9,14,16H,10-13,15H2,1-3H3,(H,23,25)	NNXJFIXQJCFPIX-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
CC(C)C1=NN=C(NC(=O)COC2=CC=CC=C2)S1	CC(C)c1nnc(NC(=O)COc2ccccc2)s1	MolPort-000-064-120	InChI=1S/C13H15N3O2S/c1-9(2)12-15-16-13(19-12)14-11(17)8-18-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3,(H,14,16,17)	KZTXHUIPFGMACG-UHFFFAOYSA-N	< 50	< 50	50 - 100	7
CCC1=CC=C(C=C1)N(C(C(=O)NC(C)(C)C)C1=CSC=C1)C(=O)CN1N=NC2=CC=CC=C12	CCc1ccc(cc1)N(C(C(=O)NC(C)(C)C)c1ccsc1)C(=O)Cn1nnc2ccccc12	MolPort-000-064-365	InChI=1S/C26H29N5O2S/c1-5-18-10-12-20(13-11-18)31(23(32)16-30-22-9-7-6-8-21(22)28-29-30)24(19-14-15-34-17-19)25(33)27-26(2,3)4/h6-15,17,24H,5,16H2,1-4H3,(H,27,33)	QTYPQWJNKWKNDM-UHFFFAOYSA-N	> 1000	> 1000	> 1000	10
CCN1N=NC(=N1)C1=CC=C(N)C=C1	CCn1nnc(n1)-c1ccc(N)cc1	MolPort-000-064-777	InChI=1S/C9H11N5/c1-2-14-12-9(11-13-14)7-3-5-8(10)6-4-7/h3-6H,2,10H2,1H3	XHJVWDBSIBURKF-UHFFFAOYSA-N	< 50	50 - 100	100 - 250	10
NC1=CC=C(C=C1)C1=NN(CC(=O)N2CCCC2)N=N1	Nc1ccc(cc1)-c1nnn(CC(=O)N2CCCC2)n1	MolPort-000-064-784	InChI=1S/C13H16N6O/c14-11-5-3-10(4-6-11)13-15-17-19(16-13)9-12(20)18-7-1-2-8-18/h3-6H,1-2,7-9,14H2	YHQGUEYCDLJEPR-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	10
NC(=O)CN1N=NC(=N1)C1=CC=C(N)C=C1	NC(=O)Cn1nnc(n1)-c1ccc(N)cc1	MolPort-000-064-806	InChI=1S/C9H10N6O/c10-7-3-1-6(2-4-7)9-12-14-15(13-9)5-8(11)16/h1-4H,5,10H2,(H2,11,16)	HMABIYQCWLZDLJ-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
COC1=CC(OCCCN)=CC=C1	COc1cccc(OCCCN)c1	MolPort-000-068-501	InChI=1S/C10H15NO2/c1-12-9-4-2-5-10(8-9)13-7-3-6-11/h2,4-5,8H,3,6-7,11H2,1H3	KZLHWRUQUSVISJ-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
O=C(NCC1=CC=CS1)NC1CCCCC1	O=C(NCc1cccs1)NC1CCCCC1	MolPort-000-068-576	InChI=1S/C12H18N2OS/c15-12(13-9-11-7-4-8-16-11)14-10-5-2-1-3-6-10/h4,7-8,10H,1-3,5-6,9H2,(H2,13,14,15)	QYELXWQLPRTPCN-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
CC1=CC(N2CCN(CC2)C(=O)NC2CCCCC2)=C(C)C=C1	Cc1ccc(C)c(c1)N1CCN(CC1)C(=O)NC1CCCCC1	MolPort-000-068-577	InChI=1S/C19H29N3O/c1-15-8-9-16(2)18(14-15)21-10-12-22(13-11-21)19(23)20-17-6-4-3-5-7-17/h8-9,14,17H,3-7,10-13H2,1-2H3,(H,20,23)	ZCLFJJQNHYAHOK-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
